Place,Athlete,Class,Team,Time,Points,Year
123,Andrew Weaver,SR,Oklahoma,30:56.6,,2012
124,David Perry,SO,Portland,30:56.7,,2012
125,Dan Lowry,SR,Michigan,30:56.9,,2012
126,Sam Evans,JR,New Mexico,30:57.2,,2012
127,Cale Wallace,FR,Arkansas,30:57.3,,2012
128,Daniel Herrera,SO,UCLA,30:58.3,,2012
129,Brian Atkinson,JR,Duke,30:58.8,,2012
130,Mark Dennin,SR,Georgetown,30:58.9,,2012
131,Seth Proctor,SR,FL State,30:59.1,,2012
132,Tony Smoragiewicz,FR,Michigan,31:00.1,,2012
133,Pat Zacharias,SO,New Mexico,31:00.4,,2012
134,Mike Franklin,SR,Princeton,31:00.5,,2012
135,Tim Rackers,SO,Tulsa,31:00.7,,2012
136,Walter Schafer,JR,Notre Dame,31:02.0,,2012
137,Tyler Stutzman,JR,Stanford,31:02.5,,2012
138,Ole Hesselbjerg,SO,E. Kentucky,31:02.8,,2012
139,Miles Schoedler,SO,Georgetown,31:02.9,,2012
140,Miles Unterreiner,SR,Stanford,31:03.2,,2012
141,Dennis Hodapp,SO,Tulsa,31:03.5,,2012
142,Brian Himelright,SR,N.C. State,31:03.5,,2012
143,Brian Dixon,JR,So. Illinois,31:04.0,,2012
144,Ryan Pickering,SO,Oregon,31:04.3,,2012
145,Matthew Kane,SR,Villanova,31:04.6,,2012
146,Zach Ornelas,SR,Michigan,31:04.8,,2012
147,Nabil Hamid,SR,Kennesaw State,31:05.0,,2012
148,Evan Esselink,SO,Indiana,31:05.2,,2012
149,Jacob Smith,FR,Portland,31:06.0,,2012
150,Sam McEntee,SO,Villanova,31:06.6,,2012
151,Matt McDonald,SO,Princeton,31:06.7,,2012
152,Brendon Blacklaws,JR,Michigan,31:07.3,,2012
153,Layne Nixon,SR,Arkansas,31:07.8,,2012
154,Ben DeJarnette,JR,Oregon,31:07.9,,2012
155,Matt Cleaver,SR,Georgia,31:09.1,,2012
155,Nohe Lema,JR,UCLA,31:09.1,,2012
157,Leighton Spencer,SR,Columbia,31:10.3,,2012
158,Caleb Rhynard,FR,Mich. State,31:10.4,,2012
159,Jeramy Elkaim,SO,Oregon,31:12.1,,2012
160,Eddie Owens,SO,Princeton,31:12.3,,2012
161,Jordan Williamsz,FR,Villanova,31:12.8,,2012
162,Ayalew Taye,SR,Georgetown,31:13.5,,2012
163,Jake Byrne,SO,Iona,31:14.7,,2012
164,Fabian Clarkson,SO,OK State,31:15.2,,2012
165,Edward Crawford,FR,N.C. State,31:16.1,,2012
166,Jim Rosa,SO,Stanford,31:16.7,,2012
166,Robert Denault,FR,Villanova,31:16.7,,2012
168,Daniel Everett,SO,Columbia,31:17.3,,2012
169,Andrew Kowalsky,SO,Iona,31:17.7,,2012
170,Brandon Doughty,FR,Oklahoma,31:18.5,,2012
171,Sergey Sushchickh,FR,UCLA,31:19.4,,2012
172,Charles Sparks,JR,Georgia,31:20.7,,2012
173,Darren Fahy,FR,Georgetown,31:21.3,,2012
174,Mark Parrish,JR,Florida,31:22.0,,2012
175,Michael Heller,SR,Kent State,31:22.2,,2012
176,Mark Allen,SR,American,31:22.5,,2012
177,Mitch Mallory,FR,N.C. State,31:24.7,,2012
178,Daniel Clorley,JR,Iona,31:25.0,,2012
179,Mike Moverman,JR,Duke,31:25.8,,2012
180,David Madrigal,SO,Mich. State,31:26.4,,2012
181,Johnnie Guy,FR,Purdue,31:27.6,,2012
182,Matt Sonnenfeldt,SR,N.C. State,31:28.0,,2012
183,James Kostelnik,SR,Duke,31:28.2,,2012
184,Ryan Urie,SO,Syracuse,31:28.5,,2012
184,Jake Kildoo,SO,Notre Dame,31:28.5,,2012
186,Morsi Rayyan,JR,Michigan,31:30.1,,2012
187,Josh McAlary,SR,Mich. State,31:30.2,,2012
188,Rex Shields,SR,BYU,31:30.9,,2012
189,Jack St. Marie,FR,Virginia,31:32.0,,2012
190,Robert Molke,JR,Syracuse,31:32.1,,2012
191,Shaun Thompson,SO,Duke,31:33.0,,2012
192,Zak Seddon,FR,FL State,31:34.1,,2012
193,Ben Furcht,JR,Georgetown,31:34.5,,2012
194,Thijs Nijhuis,SO,E. Kentucky,31:36.3,,2012
195,Ben Carruthers,SO,Mich. State,31:36.4,,2012
196,Jimmy Clark,SO,Florida,31:37.2,,2012
197,Owen Skeete,FR,Indiana,31:38.1,,2012
198,Alex Tully,JR,Villanova,31:39.6,,2012
199,Cody Reed,SO,N. Arizona,31:39.8,,2012
200,Matthew Schwartzer,FR,Indiana,31:39.9,,2012
201,Maksim Korolev,JR,Harvard,31:43.8,,2012
202,Alex Wilson,SO,Mich. State,31:44.3,,2012
203,David Flynn,JR,Arkansas,31:45.2,,2012
204,Michael VanVoorhis,SO,Wisconsin,31:45.6,,2012
205,Hugh Dowdy,SO,Colorado,31:48.4,,2012
206,Patrick Campbell,SR,N.C. State,31:49.7,,2012
207,Cameron Efurd,SR,Arkansas,31:50.0,,2012
208,Lucas Talavan-Becker,JR,Duke,31:50.2,,2012
209,Ben Veilleux,SR,Columbia,31:50.8,,2012
210,Andrew Palmer,SO,Syracuse,31:51.3,,2012
211,Alex Brill,JR,Wisconsin,31:51.9,,2012
212,Sid Vaughn,FR,Georgia,31:52.7,,2012
213,Charlie McDonald,JR,Portland,31:54.7,,2012
214,Alejandro Montano,FR,N. Arizona,31:55.8,,2012
215,Mark Pinales,SO,Texas,31:58.5,,2012
216,Adam Behnke,SR,Indiana,32:00.5,,2012
217,Christian Britto,JR,Duke,32:03.2,,2012
218,Jared Bassett,SR,Portland,32:04.3,,2012
219,Jason Cusack,SR,VA Tech,32:04.4,,2012
220,Mac Fleet,JR,Oregon,32:04.8,,2012
221,Brian Welch,JR,VA Tech,32:05.2,,2012
222,Nico Composto,JR,Columbia,32:05.5,,2012
223,Donovan Torres,FR,New Mexico,32:06.6,,2012
224,Paul Lagno,SR,FL State,32:09.2,,2012
225,Isaiah VanDoorne,SR,Mich. State,32:10.4,,2012
226,Ben Miller,SR,Mich. State,32:10.4,,2012
227,Sean Stam,JR,New Mexico,32:14.1,,2012
228,Martin Medina,SR,Colorado,32:18.5,,2012
229,Mike O’Dowd,FR,Iona,32:19.2,,2012
230,Dominick Robinson,SR,Duke,32:24.8,,2012
231,Sam Masters,SR,Penn State,32:25.9,,2012
232,Jacob Wood,SO,UCLA,32:30.5,,2012
233,Mads Taersboel,FR,E. Kentucky,32:35.2,,2012
234,Brian Basili,SO,Villanova,32:36.8,,2012
235,Christopher Stogsdill,JR,Iona,32:36.9,,2012
236,Amos Kosgey,FR,E. Kentucky,32:38.6,,2012
237,Yosi Goasdoue,JR,E. Kentucky,32:39.9,,2012
238,Drew Paisley,SO,Virginia,32:40.3,,2012
239,DJ Thornton,JR,Notre Dame,32:46.3,,2012
240,Parker Stinson,JR,Oregon,32:49.2,,2012
241,Jonathan Vitez,JR,Princeton,32:50.0,,2012
242,Patrick Lesiewicz,JR,Notre Dame,32:55.2,,2012
243,John Murray,SO,Georgetown,32:55.8,,2012
244,Jason Witt,JR,BYU,32:56.6,,2012
245,Michael Mansy,SO,N.C. State,33:02.0,,2012
1,Lawi Lalang,FR,Arizona,28:44.1,,2011
2,Chris Derrick,SR,Stanford,28:57.5,,2011
3,Leonard Korir,SR,Iona,29:02.5,,2011
4,Cameron Levins,SR,Southern Utah,29:04.8,,2011
5,Mohammed Ahmed,JR,Wisconsin,29:06.7,,2011
6,Luke Puskedra,SR,Oregon,29:09.3,,2011
7,Diego Estrada,SR,Northern Arizona,29:24.7,,2011
8,Richard Medina,SR,Colorado,29:27.8,,2011
9,Henry Lelei,JR,Texas A&M,29:29.1,,2011
10,Colby Lowe,SR,Oklahoma State,29:31.4,,2011
11,German Fernandez,SR,Oklahoma State,29:32.9,,2011
12,Ryan Hill,SR,North Carolina State,29:37.1,,2011
13,Paul Chelimo,SO,UNC-Greensboro,29:39.1,,2011
14,Miles Batty,SR,BYU,29:40.0,,2011
15,Andrew Colley,SO,North Carolina State,29:40.0,,2011
16,David Forrester,JR,Florida State,29:40.6,,2011
17,Elliot Krause,SR,Wisconsin,29:41.6,,2011
18,Jake Riley,SR,Stanford,29:44.1,,2011
19,Donn Cabral,SR,Princeton,29:44.4,,2011
20,Andrew Wacker,SR,Colorado,29:44.8,,2011
21,Alfred Kipchumba,SR,Portland,29:48.4,,2011
22,Rex Shields,JR,BYU,29:51.5,,2011
23,Ryan Collins,SR,Wisconsin,29:52.2,,2011
24,Joseph Bosshard,JR,Colorado,29:53.7,,2011
25,Eric Finan,SR,Cincinnati,29:54.6,,2011
26,Callum Hawkins,SO,Butler,29:56.4,,2011
27,Mark Amirault,SR,Virginia,29:56.8,,2011
28,Dan Lowry,SR,Brown,29:57.2,,2011
29,Bill Kogel,JR,Oklahoma,29:57.6,,2011
30,Will Mulherin,JR,Virginia Tech,29:58.1,,2011
31,Tom Farrell,SO,Oklahoma State,29:58.6,,2011
32,Michael Fout,SR,Florida State,29:59.2,,2011
33,Craig Lutz,FR,Texas,30:02.0,,2011
34,Hassan Mead,SR,Minnesota,30:02.8,,2011
35,Trevor Dunbar,JR,Portland,30:04.1,,2011
36,Reed Connor,JR,Wisconsin,30:08.6,,2011
37,Patrick Dupont,SR,Syracuse,30:09.3,,2011
38,Eric Fernandez,JR,Arkansas,30:10.4,,2011
39,Andrew Bayer,JR,Indiana,30:11.5,,2011
40,Mitch Goose,SR,Iona,30:12.4,,2011
41,David McCarthy,SR,Providence,30:14.9,,2011
42,Kevin Schwab,SR,Oklahoma,30:16.3,,2011
43,Matthew Bayley,JR,Iona,30:17.4,,2011
44,Chad Hall,SR,UC Riverside,30:17.8,,2011
45,Ben Hubers,SR,Indiana,30:19.0,,2011
46,Maverick Darling,JR,Wisconsin,30:20.0,,2011
47,Soufiane Bouchikhi,SO,Eastern Kentucky,30:20.7,,2011
48,Jordan Chipangama,SR,Northern Arizona,30:21.0,,2011
49,Christian Thompson,SR,Colorado,30:22.3,,2011
50,Shadrack Kipchirchir,SO,Oklahoma State,30:22.4,,2011
51,Ryan Dohner,SO,Texas,30:23.4,,2011
52,Breandan O’Neill,SR,Florida State,30:24.1,,2011
53,Kevin Williams,JR,Oklahoma,30:24.6,,2011
54,Ethan Shaw,SR,Dartmouth,30:24.8,,2011
55,Andrew Berberick,SO,Stanford,30:25.1,,2011
56,Cosmas Ayabei,JR,UMKC,30:26.3,,2011
57,Mark Dennin,JR,Georgetown,30:27.2,,2011
58,Jared Ward,SO,BYU,30:27.8,,2011
59,Andrew Kimpel,JR,Washington State,30:27.9,,2011
60,George Alex,SR,Oklahoma,30:28.2,,2011
61,Alexander Lundy,SR,Georgetown,30:28.9,,2011
62,Jake Hurysz,SO,North Carolina,30:29.3,,2011
63,Brian McKenna,SR,Utah State,30:29.6,,2011
64,Zachary Mayhew,JR,Indiana,30:30.1,,2011
65,Brendan Gregg,SR,Stanford,30:30.7,,2011
66,Ryan Sheridan,SR,Villanova,30:31.0,,2011
67,Eric Jenkins,SO,Northeastern,30:31.5,,2011
68,Mark Parrish,SO,Florida,30:32.9,,2011
69,Tecumseh Adams,SO,Central Michigan,30:33.1,,2011
70,Andrew Poore,SR,Indiana,30:33.5,,2011
71,Jonathan Peterson,SR,UC Davis,30:34.5,,2011
72,Dominic Channon,SR,Providence,30:34.9,,2011
73,Kyle Dawson,SR,Penn State,30:36.5,,2011
74,Mathew Mildenhall,JR,Villanova,30:36.9,,2011
75,Craig Forys,SR,Michigan,30:37.3,,2011
76,Joash Osoro,JR,Portland,30:37.8,,2011
77,Sam McEntee,FR,Villanova,30:38.1,,2011
78,Jeff Thode,JR,Iowa,30:38.5,,2011
79,Jono Lafler,SR,Washington State,30:38.6,,2011
80,Nate Jewkes,SO,Southern Utah,30:39.0,,2011
81,Pieter Gagnon,JR,Minnesota,30:39.1,,2011
82,Patrick Kimeli,JR,Texas A&M-CC,30:39.4,,2011
83,Ben Cheruiyot,SR,Eastern Kentucky,30:41.0,,2011
84,Tylor Thatcher,SO,BYU,30:41.1,,2011
85,Johnathan Stublaski,SR,Oklahoma State,30:41.3,,2011
86,Andy Heyes,JR,Tulsa,30:41.7,,2011
87,Nabil Hamid,JR,Kennesaw State,30:41.8,,2011
88,Ammar Moussa,FR,Colorado,30:42.4,,2011
89,Matt Johnsen,SO,Lamar,30:42.8,,2011
90,Paulo Pinheiro,SR,Tulsa,30:43.4,,2011
91,Tito Medrano,SR,Syracuse,30:44.0,,2011
92,Jason Witt,SO,BYU,30:44.9,,2011
93,Bobby Moldovan,SR,North Carolina State,30:45.3,,2011
94,Tim Freriks,JR,Northern Arizona,30:45.7,,2011
95,Eric Harasyn,SR,Oklahoma,30:46.0,,2011
96,Joseph Manilafasha,SO,Oklahoma State,30:46.6,,2011
97,Justus David,JR,Mid. Tenn. State,30:47.2,,2011
98,Kyle Merber,SR,Columbia,30:47.4,,2011
99,Scott Fauble,FR,Portland,30:47.4,,2011
100,Daniel Gonia,SR,Cal Poly,30:47.6,,2011
101,Chris Bendtsen,SO,Princeton,30:47.7,,2011
102,Andrew Springer,SO,Georgetown,30:47.8,,2011
103,Vince McNally,SR,Penn State,30:48.5,,2011
104,Rory Tunningley,JR,Texas,30:48.6,,2011
105,Jeremy Rae,JR,Notre Dame,30:49.7,,2011
106,Andrew Larsen,SO,Minnesota,30:50.3,,2011
107,Brendon Blacklaws,JR,Michigan,30:50.5,,2011
108,Joe Whelan,SO,Syracuse,30:51.0,,2011
109,Matthew Gibney,SR,Villanova,30:52.3,,2011
110,Martin Grady,SO,Notre Dame,30:52.6,,2011
111,David Perry,FR,Portland,30:53.0,,2011
112,Andrew Shields,SO,Wisconsin,30:53.3,,2011
113,MacLean O’Donnell,JR,Texas A&M,30:53.6,,2011
114,Aaron Sherf,SR,Oklahoma,30:54.1,,2011
115,Christopher Johnson,JR,Colgate,30:55.2,,2011
116,Alexander Soderberg,SR,Iona,30:55.9,,2011
117,Mark Pinales,FR,Texas,30:56.4,,2011
118,Curtis Carr,SO,BYU,30:56.6,,2011
119,Adrien Dannemiller,SR,Indiana,30:57.0,,2011
120,Julian Matthews,SR,Providence,30:57.7,,2011
121,David Cardona,JR,Cal Poly,30:57.9,,2011
122,Donald Roys,JR,Ohio State,30:58.3,,2011
123,Matt Sonnenfeldt,JR,North Carolina State,30:58.4,,2011
124,Adam Henken,SR,North Carolina State,30:58.6,,2011
125,Mike Murphy,JR,Columbia,30:59.2,,2011
126,Jim Riddle,SR,Illinois,31:00.3,,2011
127,Erik Olson,SO,Stanford,31:00.6,,2011
128,Taylor Williams,SR,Ohio State,31:00.8,,2011
129,Max Straneva,FR,Syracuse,31:01.2,,2011
130,Wesley Ruttoh,SR,Houston,31:01.6,,2011
131,Martin Kirui,SR,Mississippi,31:01.8,,2011
132,Julian Meyer,JR,Ohio State,31:02.2,,2011
133,Lars Erik Malde,JR,Portland,31:02.4,,2011
134,Bobby Aprill,SR,Michigan,31:02.6,,2011
135,Keith Capecci,SR,Villanova,31:03.2,,2011
136,Ross Clarke,SO,Butler,31:05.6,,2011
137,Adam Green,SR,Ohio State,31:06.7,,2011
138,Jakub Zivec,SO,Florida State,31:07.1,,2011
139,Sean Stam,JR,New Mexico,31:07.2,,2011
140,Jordan Hebert,JR,Illinois,31:07.7,,2011
141,Brock Simmons,SR,Texas,31:08.0,,2011
142,Matt Cleaver,JR,Georgia,31:08.5,,2011
143,Jason Weller,SR,Iona,31:09.2,,2011
144,J.T. Sullivan,SR,Stanford,31:09.5,,2011
145,Brian Long,SR,Villanova,31:09.9,,2011
146,J.P. Malette,JR,Notre Dame,31:10.2,,2011
147,Desean Turner,SR,Indiana,31:10.3,,2011
148,Marcus Paulson,FR,Minnesota,31:10.4,,2011
149,Mathew Schiffbauer,SR,Marshall,31:10.8,,2011
150,Forrest Misenti,JR,Syracuse,31:11.2,,2011
151,Kevin Burnett,SR,Texas A&M,31:11.9,,2011
152,Daniel Mutai,JR,UL-Monroe,31:12.6,,2011
153,Sean Keefe,SO,Syracuse,31:13.0,,2011
154,Joe Rosa,FR,Stanford,31:13.6,,2011
155,Matthew Coloe,SR,Northern Arizona,31:14.3,,2011
156,Tyler Udland,SO,Princeton,31:16.3,,2011
157,James Hodges,JR,Texas A&M,31:17.3,,2011
158,William Kincaid,FR,Portland,31:18.1,,2011
159,Kevin McDonnell,SR,St. Joseph’s (Pa.),31:18.5,,2011
160,Tc Lumbar,SR,Georgetown,31:18.6,,2011
161,Zach Ornelas,JR,Michigan,31:19.3,,2011
162,Justin Englund,SR,Washington State,31:20.2,,2011
163,Tom Marshall,SR,Tulsa,31:21.3,,2011
164,Andrew Gonzales,JR,Washington State,31:22.1,,2011
165,Eddie Owens,FR,Princeton,31:23.4,,2011
166,Brian Leung,SR,Princeton,31:23.4,,2011
167,Patrick McGregor,SO,Texas,31:24.3,,2011
168,Matthew Kane,JR,Villanova,31:24.5,,2011
169,Collin Smith,JR,Texas,31:24.7,,2011
170,Chris Fallon,JR,Ohio State,31:25.3,,2011
171,Andrew Weatherford,SR,Indiana,31:25.7,,2011
172,C.J. Brown,JR,Texas A&M,31:26.0,,2011
173,Martin Medina,JR,Colorado,31:26.9,,2011
174,Nico Composto,SO,Columbia,31:27.4,,2011
175,Jake Sienko,SO,Columbia,31:28.3,,2011
176,Leighton Spencer,JR,Columbia,31:28.4,,2011
177,Caleb Hoover,FR,Northern Arizona,31:30.1,,2011
178,Jordan Carlson,SR,Notre Dame,31:30.4,,2011
179,Morsi Rayyan,SO,Michigan,31:30.9,,2011
180,John Yatsko,SR,Northern Arizona,31:30.9,,2011
181,Andrew Belus,SR,Northern Arizona,31:31.1,,2011
182,Jeremy Sudbury,SR,Oklahoma,31:31.3,,2011
183,Blake Theroux,FR,Colorado,31:31.4,,2011
184,Peter Sigilai,SR,Eastern Kentucky,31:33.7,,2011
185,Stephen Curry,JR,Texas A&M,31:34.1,,2011
186,Todd Wakefield,FR,Washington State,31:34.8,,2011
187,Brian Detweiler,JR,Georgia,31:35.5,,2011
188,Chris Berry,SR,Chattanooga,31:35.6,,2011
189,Joey Thompson,SR,UNC-Greensboro,31:37.3,,2011
190,Patrick Campbell,JR,North Carolina State,31:38.6,,2011
191,Jimmy Clark,FR,Florida,31:40.3,,2011
192,Walter Schafer,SO,Notre Dame,31:40.4,,2011
193,Dennis Hodapp,FR,Tulsa,31:42.3,,2011
194,Kelly Lynch,SR,Notre Dame,31:42.9,,2011
195,Lucas Baker,SO,Georgia,31:44.0,,2011
196,Alden Bahr,SR,BYU,31:44.2,,2011
197,Steve Sulkin,SO,Minnesota,31:46.3,,2011
198,Justin Heck,SR,Columbia,31:46.8,,2011
199,Chris Frias,SO,Cal Poly,31:47.2,,2011
200,Isaac Spencer,FR,Texas A&M,31:47.2,,2011
201,Andrew Kowalsky,FR,Iona,31:47.9,,2011
202,Seth Proctor,SR,Florida State,31:49.4,,2011
203,Gerraint Davies,JR,Tulsa,31:50.5,,2011
204,Mark Beams,SO,Michigan,31:50.8,,2011
205,Michael Bradjic,FR,Ohio State,31:51.2,,2011
206,Brandon Lord,SO,Georgia,31:51.5,,2011
207,Michael Johnson,JR,Cal Poly,31:52.1,,2011
208,Evans Kiptoo,SR,Eastern Kentucky,31:54.6,,2011
209,Adams Ronnoh,SO,Eastern Kentucky,31:55.0,,2011
210,Josh Izewski,SR,Florida,31:55.6,,2011
211,John Murray,FR,Georgetown,31:56.0,,2011
212,Benjamin Connor,FR,Providence,31:56.8,,2011
213,Patrick Ortiz,SR,New Mexico,31:56.9,,2011
214,Ahmed Ali,JR,Providence,31:59.3,,2011
215,Carl Stones,SR,Tulsa,32:01.8,,2011
216,Ryan Cosens,SR,Cal Poly,32:02.3,,2011
217,Andrew Palmer,FR,Syracuse,32:03.1,,2011
218,Nick Long,JR,Georgia,32:03.9,,2011
219,Brandon Shirck,SR,Cal Poly,32:04.7,,2011
220,Andrew Jordan,SO,Washington State,32:05.2,,2011
221,Sam Masters,JR,Tulsa,32:06.0,,2011
222,Elkana Rotich,JR,UTEP,32:07.0,,2011
223,Sam Pons,FR,Princeton,32:07.7,,2011
224,Jake Byrne,FR,Iona,32:08.8,,2011
225,Ben Furcht,SO,Georgetown,32:09.8,,2011
226,Peter Maag,SR,Princeton,32:10.4,,2011
227,Bobby Peavey,SO,Georgetown,32:11.1,,2011
228,Brett Richardson,JR,Georgia,32:11.9,,2011
229,Sean Davidson,SO,Cal Poly,32:12.5,,2011
230,Thijs Nijhuis,FR,Eastern Kentucky,32:14.7,,2011
231,Joe Miller,SR,Notre Dame,32:16.8,,2011
232,Lee George,FR,Washington State,32:17.0,,2011
233,Fabian Clarkson,FR,Oklahoma State,32:18.0,,2011
234,Wesley Rickman,JR,Florida State,32:18.6,,2011
235,Pierre Malherbe,FR,New Mexico,32:18.7,,2011
236,John-Logan Hines,FR,Florida,32:21.3,,2011
237,Cory Leslie,JR,Ohio State,32:23.2,,2011
238,Michael Asay,SO,New Mexico,32:25.0,,2011
239,Jp Hackney,SR,Georgia,32:26.7,,2011
240,Michael Brice,SO,Wisconsin,32:27.4,,2011
241,Matt Mizereck,SO,Florida,32:29.5,,2011
242,Allen Pittman,SR,New Mexico,32:30.3,,2011
243,Eduardo Garcia,FR,Florida,32:32.2,,2011
244,David Mutuse,SR,Eastern Kentucky,32:32.5,,2011
245,Erik Truedson,SO,Minnesota,32:34.9,,2011
246,Brian Himelright,JR,North Carolina State,32:39.5,,2011
247,Ben Veilleux,JR,Columbia,32:45.5,,2011
248,Paul Hilsen,SR,Minnesota,32:52.6,,2011
249,Eric Malnatti,JR,Providence,32:54.0,,2011
250,Vincent Montoya,SO,New Mexico,32:57.3,,2011
251,Tyler Davidson,SO,Florida,33:02.1,,2011
252,Mason Ferlic,FR,Michigan,33:12.3,,2011
1,Samuel Chelanga,SR,Liberty,29:22.2,,2010
2,Stephen Sambu,JR,Arizona,29:26.5,,2010
3,Luke Puskedra,JR,Oregon,29:38.0,,2010
4,Leonard Korir,JR,Iona,29:42.0,,2010
5,Chris Derrick,JR,Stanford,29:44.7,,2010
6,Jake Riley,JR,Stanford,29:45.0,,2010
7,Girma Mecheso,JR,Oklahoma State,29:47.5,,2010
8,German Fernandez,JR,Oklahoma State,29:49.3,,2010
9,Colby Lowe,JR,Oklahoma State,29:57.6,,2010
10,Matthew Centrowitz,JR,Oregon,30:01.1,,2010
11,Dorian Ulrey,SR,Arkansas,30:02.0,,2010
12,Mohammed Ahmed,SO,Wisconsin,30:03.4,,2010
13,Maverick Darling,SO,Wisconsin,30:07.6,,2010
14,Jonathan Peterson,JR,UC Davis,30:09.1,,2010
15,Miles Batty,JR,BYU,30:09.4,,2010
16,Diego Estrada,JR,Northern Arizona,30:10.7,,2010
17,Solomon Haile,SO,Arkansas,30:13.3,,2010
18,Ciaran O’Lionaird,SR,Florida State,30:14.0,,2010
19,Ahmed Osman,JR,Northern Arizona,30:14.8,,2010
20,Landon Peacock,SR,Wisconsin,30:15.3,,2010
21,Brian Leung,JR,Princeton,30:18.3,,2010
22,Ryan Hill,JR,NC State,30:19.0,,2010
23,Kevin Schwab,JR,Oklahoma,30:19.1,,2010
24,Lee Carey,JR,Providence,30:19.9,,2010
25,Trevor Dunbar,SO,Portland,30:20.1,,2010
26,Joseph Bosshard,SO,Colorado,30:20.4,,2010
27,Shadrack Kipchirchir,FR,Western Kentucky,30:20.5,,2010
28,Michael Fout,JR,Florida State,30:20.9,,2010
29,Tom Farrell,FR,Oklahoma State,30:21.3,,2010
30,Jeff Thode,SO,Iowa,30:21.4,,2010
31,Evans Kigen,SR,Liberty,30:21.4,,2010
32,Ryan Collins,JR,Virginia,30:24.9,,2010
33,Patrick Dupont,JR,Syracuse,30:26.0,,2010
34,Donn Cabral,JR,Princeton,30:26.4,,2010
35,Julius Bor,SR,Alabama,30:26.6,,2010
36,Johnathan Stublaski,JR,Oklahoma State,30:26.9,,2010
37,Andrew Wacker,JR,Colorado,30:28.1,,2010
38,Andrew Poore,JR,Indiana,30:28.4,,2010
39,Ben Blankenship,SR,Minnesota,30:29.3,,2010
40,Keith Gerrard,SR,New Mexico,30:32.4,,2010
41,David Bishop,SR,New Mexico,30:33.9,,2010
42,Elliott Heath,SR,Stanford,30:35.5,,2010
43,Erik Van Ingen,SR,Binghamton,30:35.7,,2010
44,Matt Llano,SR,Richmond,30:35.8,,2010
45,Alfred Kipchumba,JR,Portland,30:36.4,,2010
46,Carrison Kemei,SO,Alabama,30:36.5,,2010
47,Emmanuel Kirwa,SR,Chattanooga,30:36.5,,2010
48,Alden Bahr,JR,BYU,30:36.6,,2010
49,Soufiane Bouchikhi,FR,Eastern Kentucky,30:36.7,,2010
50,David Rooney,JR,McNeese State,30:36.9,,2010
51,Ben Engelhardt,SR,Arizona State,30:37.1,,2010
52,Mark Amirault,SR,Princeton,30:37.9,,2010
53,David Forrester,SO,Florida State,30:38.4,,2010
54,Bill Kogel,SO,Oklahoma,30:38.7,,2010
55,Dominic Channon,JR,Providence,30:39.2,,2010
56,Andrew Colley,FR,NC State,30:39.4,,2010
57,Mathew Mildenhall,SO,Villanova,30:40.2,,2010
58,Chas Gillespie,SR,William and Mary,30:40.7,,2010
59,Wesley Rickman,SO,Florida State,30:40.8,,2010
60,Eric Finan,JR,Cincinnati,30:41.1,,2010
61,Danny Mercado,SR,Oregon,30:41.5,,2010
62,Lars Erik Malde,SO,Portland,30:42.0,,2010
63,Matthew Bayley,SO,Iona,30:42.9,,2010
64,Kyle Dawson,JR,Penn State,30:43.3,,2010
65,Mitch Goose,JR,Iona,30:44.2,,2010
66,Joseph Manilafasha,FR,Oklahoma State,30:45.0,,2010
67,Andrew Bayer,SO,Indiana,30:46.7,,2010
68,Moses Kiptoo,JR,Alabama,30:49.8,,2010
69,Ben Hubers,JR,Indiana,30:50.3,,2010
70,Micheal Eaton,SR,Louisville,30:51.0,,2010
71,Emil Heineking,SR,Virginia,30:52.3,,2010
72,Ryan Dohner,FR,Texas,30:52.8,,2010
73,Ben Lindsay,SR,Iona,30:53.5,,2010
74,Steven Weeks,JR,Syracuse,30:54.0,,2010
75,Andrew Benford,SR,Richmond,30:54.7,,2010
76,Alexander Smyth,SR,Florida State,30:55.7,,2010
77,Robert Sorrell,SR,Oklahoma,30:56.4,,2010
78,Zachary Mayhew,SO,Indiana,30:56.8,,2010
79,Eric Fernandez,SO,Arkansas,30:56.9,,2010
80,Matt Hughes,JR,Louisville,30:57.0,,2010
81,George Alex,JR,Oklahoma,30:57.6,,2010
82,Sean Keveren,SO,Virginia,30:57.7,,2010
83,Tito Medrano,JR,Syracuse,30:57.7,,2010
84,Chris Lemon,SR,Dayton,30:57.8,,2010
85,Festus Kigen,SR,Texas Christian,30:58.5,,2010
86,Lewis Woodard,SR,William and Mary,30:58.8,,2010
87,Jason Pedersen,SR,Northern Arizona,30:58.9,,2010
88,Bo Waggoner,SR,Duke,30:59.1,,2010
89,Justin Tyner,SR,Air Force,31:02.7,,2010
90,Christian Thompson,JR,Colorado,31:04.1,,2010
91,Michael Coe,SR,California,31:04.8,,2010
92,Vince McNally,JR,Penn State,31:05.7,,2010
93,Jeremy Rae,SO,Notre Dame,31:06.2,,2010
94,James Murdock,SR,Syracuse,31:07.0,,2010
95,Reed Connor,SO,Wisconsin,31:07.3,,2010
96,Ross Millington,SO,New Mexico,31:08.3,,2010
97,Bobby Moldovan,JR,NC State,31:08.7,,2010
98,Joel Rop,JR,Alabama,31:08.9,,2010
99,Kevin Williams,SO,Oklahoma,31:09.5,,2010
100,J.T. Sullivan,JR,Stanford,31:09.6,,2010
101,Zach Gates,SO,William and Mary,31:10.6,,2010
102,Peter Christmas,SR,Portland,31:11.9,,2010
103,Greg Kelsey,SR,Maryland,31:13.0,,2010
